,Date,Source,Statement,Verdict
814,,,"""...in 2002, the infant mortality rate was 51.2 babies per 1,000 live births. In 2015, infant mortality rate decreased to 34.4 deaths per 1,000 live births.""",correct
815,,,"""Between 2004 and 2014, the EPWP created over 5 million work opportunities for poor and unemployed people.""",correct
816,,,"""Of the target of 6 million between 2014 and 2019, 1.24 million work opportunities were already created by the end of March 2015. This figure surpassed the target of 1.04 million for that period. This is [a] 119% achievement.""",unproven
817,,,"""Most importantly, the EPWP has surpassed its target of 55% and 40% for women and youth respectively, with 60% of participants being women and 50% being youth.""",correct
818,,,"""Expanded community works programmes from 45 municipalities in 2011 to 196 in 2015 and increased the number of participants from 100,000 to more than 200,000.""",mostly-correct
819,,,"""We have provided about 3.7 million subsidised housing opportunities and thereby giving a home to about 12.5 million South Africans!""",mostly-correct
820,,,"""Upgraded 95,000 households in informal settlements.""",incorrect
821,,,"""The ANC government initiated investigations into 203 corruption cases involving 1,065 persons. A total of 234 government officials were convicted for corruption related offences since 2014.""",unproven
822,,,"""Freezing orders to the value of R601 million were obtained by the end of the third quarter of the 2015/16 financial year. This means that government has recovered a total of R4.21 billion since 2009.""",unproven
823,,,"Africa’s biggest economy, with the largest population, spends less on health than Angola, South Sudan and Ethiopia",exaggerated
824,,,"Reporting on a 12-year-old girl falling pregnant with a 15-year-old boy, South Africa’s biggest tabloid said children older than 12 can have sex as long as it is consensual.",misleading
825,,,There are half as many children out of school today as there were 15 years ago,exaggerated
826,,,HIV only SA’s 9th leading cause of death in 2006,misleading
827,,,"There are “8.3 million jobless people"" in South Africa.",correct
828,,,“In 1996 there were 3.4 million families residing in formal housing but by 2014 that number had increased to 9.4 million... An increase of 6 million houses that have been provided by this government.”,incorrect
829,,,"“In 1994 just over half of households had electricity, now 85% do.”",correct
830,,,“At the last analysis of the ratings of television programmes the parliamentary channel was rated as one of the most watched programmes.”,mostly-correct
831,,,“More than 26 million” people in South Africa live in absolute poverty.,correct
832,,,“[The agricultural] sector is currently facing the worst drought ever recorded in the history of South Africa.”,unproven
833,,,“The unemployment rate amongst our youth is more than twice that of adults.”,correct
834,,,“Recently the influential site Buzzfeed voted South Africa as the most beautiful country in the world.”,incorrect
835,,,“Our government has also taken action to address the funding needs of the poorest as shown as having invested over R50 billion in loans and bursaries via the National Student Financial Aid Scheme (NSFAS).”,unproven
836,,,“We are proud of our Top 10 ranking in the World Economic Forum competitiveness report with respect to financial services.”,mostly-correct
837,,,“There has been no load-shedding since August last year.”,incorrect
838,,,“The multiple bid windows of the Renewable Independent Power Producer Programme have attracted an investment of R194 billion.”,mostly-correct
839,,,"""To curb water wastage, the Department of Water and Sanitation has begun its programme of training 15,000 young people as artisans.""",correct
840,,,"“...life expectancy of South Africans for both males and females has significantly improved and is currently 62 years across genders, which is an increase of eight and a half years since 2005.”",mostly-correct
841,,,“The HIV policy turnaround in 2009 led to… treatment for 3.2 million people living with the virus.”,mostly-correct
842,,,Girls are “beating the boys hands down” in matric.,incorrect
843,,,"Militant Islamist group Boko Haram are ""currently not holding any territory"" in the country. ",exaggerated
844,,,774 people become jobless every da,misleading
845,,,“The black middle class grew 333% from 1.8 million to 6 million.”,incorrect
846,,,“Between 1996 and 2011 total black disposable income grew 370% from R161 million to R756 million.”,unproven
847,,, “Between 1996 and 2011… personal income grew 300%.”,unproven
848,,,“There are more middle class blacks in formerly white suburbs than the entire white population.”,unproven
849,,,“Blacks in top management... doubled” [presumably from 2000 to the present],mostly-correct
850,,,“Black literacy is up 50% since 1994.”,incorrect
851,,,“Black life expectancy defied AIDS and rose from age 53 to 60 in five years between 2006 and 2011.”,mostly-correct
852,,,“Private schools are 72% black.”,incorrect
853,,,"""...blacks have more than half of all degrees.""",correct
854,,, “The welfare budget exploded from R10 billion to R100 billion between 1994 and 2011.”,mostly-correct
855,,,“Blacks living on less than $2 a day fell from 16% to 2.5% since 1996.”,incorrect
856,SANRAL,South African National Roads Agency ,"A road agency created 29,120 full-time jobs",misleading
857,,,"“The number of black people earning more than R400,000 a year grew 1,000% from 120,000 to 1.2 million between 2000 and last year; 90% are in the private sector.”",unproven
858,,,“Latter-day racists who demand coercive land redistribution do not know that black buying has grown to 50% of all voluntary transactions.”,unproven
859,,, “The percentage of black judges increased 248% from 25% to 62% between 2000 and 2012.”,incorrect
860,,,“Youth illiteracy is nearly nonexistent at 4%.”,incorrect
861,,,“Social grants are the main source of income for 40% of black households.”,incorrect
862,,,“More than 45% of black people are unemployed compared with only 5% of white people.”,mostly-correct
863,,,"“White families earn six times more than what black families earn. A black family’s annual income is R60,000 whereas a white family earns an annual income of R360,000.”",mostly-correct
864,,,"“On average, a black family comprises six people compared with a white family of three people.”",incorrect
865,,,"""Whites are only 10% of the economically active population but occupy more than 60% of the top management positions.”",mostly-correct
866,,,China has as many as five “opposition parties”,misleading
867,,,There are “more VIP security for cabinet members than there are security personnel manning our border gates” ,misleading
868,,,"30,000 children trafficked each year in South Africa",exaggerated
869,,,South Africa is home to about five million immigrants.,exaggerated
870,,,1-in-3 South Africans is obese. This makes the country the most obese in the region.,exaggerated
871,,,"“Government... continues to build modern new schools to replace mud schools and other inappropriate structures.""",mostly-correct
872,,,"""The Americans named a mini-planet after [Siyabulela Xuza] because of his achievements.""",correct
873,,,"“...education continues to receive the biggest chunk of the national budget.""",correct
874,,,“[The] department and the Free State have not been getting the right kinds of allocations as per the national formula of the equitable share.”,incorrect
875,,,“Immunisation coverage [for children] under one year improved from 86.8% in 2013-2014 to 91.2% in 2014-2015.”,misleading
876,,,“[In 2014-2015] coverage for the rotavirus vaccine exceeded the 95% target and the pneumococcal vaccine reached 91.5%.”,misleading
877,,,“Pneumonia incidence decreased from 89 per 1 000 of the under-five population in 2012-2013 to 84.7 in 2013-2014.”,mostly-correct
878,,,“The tuberculosis (TB) new client success rate improved from 79.7% to 83.3% and the TB cure rate from 73% to 77.1%.”,correct
879,,,“All multidrug-resistant TB confirmed patients have been initiated on treatment.”,mostly-correct
880,,,"“HIV counselling and testing is implemented in all health facilities, public places and gatherings. A total of 109 047 people have been tested for HIV so far in the 2014-2015 financial year.”",mostly-correct
881,,,“[The] prevention of mother-to-child transmission of HIV improved from 1.8% in 2013-2014 to 0.09% in the first quarter of 2014-2015.”,incorrect
882,,,“Research by the Institute for Security Studies (2003) indicates that the 12 to 21 age group has the largest number of offenders and victims compared to other age groups in South Africa.”,unproven
883,,,"“In 2013, of the total 5,698 deaths in South Africa due to transport, 2,515 were among youth, indicating that 44% of all traffic accident deaths in the country occurred among the youth.”",unproven
884,,,"“Of the total number of deaths due to assault and intentional self-harm in the country, 69% and 59% of them, respectively, occurred among those aged 15-34 years.”",correct
885,,,"“The prevalence of pregnancy increased with age, rising from 0.7% for females aged 14 years, to 12.1% for females aged 19 years.”",correct
886,,,“4.5% of teenage girls between the ages 13-19 were reported pregnant in 2013.”,mostly-correct
887,,,"“According to the South African June 2014 labour force survey, 36.1% of young people between the ages of 15 and 35 are unemployed”",correct
888,,,“The labour absorption rate for young people [is] 30.8%.”,correct
889,,,"“Young women face even higher levels of unemployment – 34.5% of young women are neither employed nor at school, including further and higher education, compared to 29.9% of young men.”",incorrect
890,,,“About 60% of unemployed youth aged below 35 years have never worked.”,incorrect
891,,,"The employment tax incentive “had supported the creation of 216,000 young workers in December 2014.”",incorrect
892,,,“Literacy and numeracy skills at primary school level are well below the international average.”,mostly-correct
893,,,“Only 31% of young people completed their matric (Grade 12) education.”,mostly-correct
894,,,"“The percentage of individuals aged 20 years and older who have attained Grade 12 has been growing since 2002, increasing from 21.9% in 2002 to 27.7% in 2013.”",correct
895,,,“About 4.3% of 18 to 29-year-olds were enrolled at a higher education institution in the country in 2013 – up from 4% in 2002.”,correct
896,,,“South Africa has one of the highest rates of rape in the world.”,correct
897,,," “Of the estimated 500,000 rapes that take place every year, only one in nine are reported.”",unproven
898,,,"“For every 25 men brought to trial for rape, 24 will walk free...”",unproven
899,,,"“According to research by the anti-violence NGO, CIET, 20% of men said the victim ‘asked for it’.”",incorrect
900,,,"“In a related survey, a quarter of Soweto schoolboys described “jackrolling” – a local term for gang rape – as ‘fun’.”",unproven
901,,,“Sex education is non-existent”,incorrect
902,,,"“Up to 40% of South African women will be raped in their lifetime according to the South African Institute of Race Relations, but estimates vary widely due to underreporting.”",incorrect
903,,,5 million immigrants call South Africa home,exaggerated
904,,,"“In 2014, more than 62% of South Africans made their democratic choice to choose a political party of their choice.”",incorrect
905,,,"“By the fourth quarter of 2014, GDP showed signs of recovery at a 4.1%. What is important, though, is that the real sectors of the economy, namely agriculture, mining, and manufacturing, were positive and actually grew.”",misleading
906,,,"“Whilst jobs were lost [due to the recession], in 2014 South Africa has actually managed to employ even more people than were employed in the years when jobs were lost, implying that there is recovery.”",misleading
907,,,"“Under the stewardship of President Zuma, South Africa has one of the largest renewable energy programmes ranked among the top 10 in the world.”",incorrect
908,,,“The percentage of households connected to the electricity mains increased from 82% to 85%.”,correct
909,,,“The percentage of households connected to piped water increased from 88% to 90%.”,mostly-correct
910,,,“The percentage of households with access to RDP standard sanitation increased from 70% to 78%.”,mostly-correct
911,,,“The percentage of persons aged 20 years and above with no formal education or highest level of education less than Grade 7 within each gender group decreased from 19.3% to 16.2%.”,correct
912,,,“South Africans now live nine years longer than they did in 2005 due to the roll-out by this government of drugs that prolong life.”,correct
913,,,“[The] National Student Financial Aid Scheme (NSFAS) increased from R2.4 billion in 2008 to R9.5 billion in 2014.”,mostly-correct
914,,,“South Africans benefit from a cocktail of social assistance programmes and services that alleviate poverty and indeed poverty has visibly been reduced since 2000.”,correct
915,,,"“South Africans have continued to trust government with their taxes. South Africa’s budget in 1994 was R135.1-billion; by 2004 this had doubled to R370-billion and R834-billion in 2009. The Minister of Finance recently announced a budget of R1.3-trillion. This means that since 2009 we have added more than the equivalent of the entire budget of 2004 and seen a 1,000% increase since 1994.”",incorrect
916,,,"“Our economy has lost R300-billion since 2008 because, without a stable electricity supply, manufacturers cannot produce, investors are driven away and jobs are lost.”",mostly-correct
917,,,"“Despite all his past promises, what President Zuma failed to tell us last week was that, today, there are 1.6-million more South Africans without jobs than when he took office in 2009.”",incorrect
918,,,“The 17.5 million hectares of fertile soil in communal land areas must be unlocked for reform purposes. State-owned land must be fully audited and used to fast-track redistribution to deserving beneficiaries.”,incorrect
919,,,“But while our communities are being over-run by drug lords the President said nothing about crime! Where are the specialised anti-drug units? Drug crime has doubled since they were taken away.”,incorrect
920,,,“An average of 49% of the learners who should have sat for exams in 2014 dropped out of school.”,mostly-correct
921,,,"“[O]nly 204,522 new entrant opportunities at universities were available this year. This is despite the fact that of the 532,860 grade 12 pupils who wrote matric in 2014, only 403,874 pupils passed with marks that allow them to study in tertiary universities either for a degree, diploma or a higher certificate.”",misleading
922,,,"“It is a fact that in the academic year 2015, 90,000 students applied for admission at the University of KwaZulu-Natal, and only 7,000 could be admitted and still the university cannot give financial aid to all academically deserving but needy students.”",mostly-correct
923,,,"“Your own government in 2013 reported that ‘the number of children affected [by child labour] still remains… at an estimated 821,000’.”",unproven
924,,,"“We are a democratic state and recognise the community's right to protest. We however appeal that these protests should be within the ambit of the law and must be peaceful as stated in the Constitution. The police successfully brought under control 13,575 recorded public order incidents, comprising 1,907 unrest-related and 11,668 peaceful incidents.”",unproven
925,,,"“The fight against corruption continues to be taken forward by the Anti-Corruption Inter-Ministerial Committee. Government has in place seven anti-corruption institutions and 17 pieces of legislation which are intended to combat corruption. This demonstrates a concerted effort by government to break the back of this scourge in the country. In the 2013/14 financial year, 52 persons were convicted in cases involving more than R5-million. Thirty one public servants were convicted in the first quarter of 2014/15 and freezing orders to the value of R430-million were obtained.""",downplayed
926,,,"“Our investment in youth employment is also paying off. The Employment Tax Incentive [ETI] which was introduced last year directed mainly at the youth, is progressing very well. R2-billion has been claimed to date by some 29,000 employers, who have claimed for at least 270,000 young people.”",unproven
927,,," “Through the Accelerated School Infrastructure Delivery Initiative [ASIDI] which is part of the national infrastructure plan, 92 schools have been completed to date and 108 are under construction. About 342 schools have received water for the first time. Three hundred and fifty one schools have received decent sanitation while 288 have been connected to electricity.""",unproven
928,,,"“[T]he situation is more promising on the jobs front. Two days ago, Stats SA released the employment figures for the last quarter of 2014. The report shows that there are now 15.3-million people who are employed in South Africa. Jobs grew by 203,000.”",mostly-correct
929,,,"“We are making progress in fighting crimes against women and children. The SAPS Family Violence, Child Protection and Sexual Offences Investigation Unit has secured 659 life sentences against perpetrators of crimes against women and children.”",misleading
930,,,"“The construction of the three new power stations Kusile, Medupi and Ingula, will add 10,000 MW of capacity to the national grid.”",misleading
931,,,“There are still 3.4 million households in the country without electricity”,unproven
932,,,"“Foreign nationals will not be allowed to own land in South Africa but will be eligible for long term lease. In this regard, the Regulation of Land Holdings Bill will be submitted to Parliament this year.”",unproven
933,,," “Mother to child transmission of HIV has declined sharply and we have doubled the number of people who are receiving antiretroviral treatment, from one million to 2.4-million people in 2013.”",mostly-correct
934,,,“More than 20 million South Africans have taken the HIV test since the launch of the campaign in 2011 which indicates confidence in the health system.”,downplayed
935,,,"“When 95% of households have access to water, the 5% who still need to be provided for, feel they cannot wait a moment longer. Success is also the breeding ground of rising expectations.”",incorrect
936,,,"“In housing, about 3 million housing units and more than 855,000 serviced sites were delivered since 1994 [up to December 2013].”",correct
937,,,“Nearly 500 informal settlements have been replaced with quality housing and basic services over the past five years.”,unproven
938,,,"“Since 1994, nearly 5,000 farms, comprising 4.2-million hectares, have been transferred to black people, benefiting over 200,000 families.”",unproven
939,,,"“Nearly 80,000 land claims, totalling 3.4 million hectares, have been settled and 1.8 million people have benefited.”",unproven
940,,,“We have created 3.7-million work opportunities [between April 2009 and March 2014].”,correct
941,,,"""On average, the economy has grown at 3.2 percent a year from 1994 to 2012 despite the global recession which claimed a million jobs.”",mostly-correct
942,,,"“Jobs are now being created again. There are now [in February 2014] 15-million people with jobs in the country, the highest ever in our history, and over 650,000 jobs were created last year, according to Stats SA.”",misleading
943,,,“The overall crime rate has decreased by 21 % since 2002…”,misleading
944,,,"“Some progress has been made over the past five years in reducing the levels of serious crime such as murders, aggravated robberies, crimes against women, children and other vulnerable groups, but they remain unacceptably high. We will work to further reduce levels of crime.”",misleading
945,,,“We opened at least one new school a week in the Eastern Cape last year [2013] and will continue to eradicate mud schools and other inappropriate structures.”,incorrect
946,,,“The matric pass rate has gone up from around 61% in 2009 to 78% last year [2013] and the bachelor passes improve each year.”,mostly-correct
947,,,"“The number of children attending Grade R has more than doubled, moving from about 300,000 to more than 700,000 between 2003 and 2011.”",correct
948,,,“Student enrolments at universities increased by 12% while Further Education and Training college enrolments have increased by 90%.”,correct
949,,,"You ""only need 30% to pass matric” in South Africa",misleading
950,,,"Prisoners in South Africa have access to better healthcare services than the general public, the Deputy Minister of Correctional Services",exaggerated
951,,,A grid collapse plunge South Africa in darkness for weeks,exaggerated
952,,, “Motorable” roads have increased five-fold since 2010,exaggerated
953,,,"Every 36 seconds someone is raped in SA and therefore 74,400 women will be raped in August 2014",misleading
954,,,Government is acting to stop “all forms of discrimination” against women and girls,misleading
955,,," Julius Malema, leader of the Economic Freedom Fighters: “In 1995, unemployment was 15% and now, at this moment, it is at 25% or 36%, with an expanded definition. Seventy percent of this demographic are the youth.”",mostly-correct
956,,," Mmusi Maimane, Democratic Alliance parliamentary leader: “Since the end of 2012, South Africa's unemployed population has grown by 121,000.""",incorrect
957,,,"Mmusi Maimane: ""In the Western Cape, the unemployed population has shrunk by 48,000.”",correct
958,,," Mmamoloko Kubayi, African National Congress member of parliament: “The success of the youth incentive scheme in a short period of time…has been nothing short of remarkable and it has created more than 133,000 job opportunities for our youth.”",unproven
959,,,"The promotion of birth control measures is a “ploy” by western nations to retard population growth in Africa; the use of these contraceptives made women at greater risk of developing cancer, and should be stopped.",misleading
960,,,There has been a “42% reduction in occupational diseases in the mining sector.”,misleading
961,,,Some 5.7 million people work in Zimbabwe’s informal sector,exaggerated
962,,,41.2% of South African women are binge drinkers,exaggerated
963,,,"“In 2009 the number of contact crimes was 1,407 per 100,000 people. In 2012 the number of contact crimes was 1,233 per 100,000 people.”",incorrect
964,,,"""In 1994, 39% of South Africans had access to electricity, today, 86% of South Africans have access to electricity.""",incorrect
965,,,"“In 1994, there were 150,000 African students in university, a 57% matric pass rate and no grade R. In 2012, there were 750,000 African students in university, a 78% [matric] pass rate and grade R.”",checked
966,,,"“Over seven million learners are in no-fee schools, up from five million in 2009.”",unproven
967,,,"“Over nine million learners in 20,000 schools receive daily meals.”",checked
968,,,"""Twice as many young people attended university and twice as many graduated in 2012 than in 1994.""",checked
969,,,"""Further Education and Training college enrolments doubled from 345,566 in 2010 to 657,690 in 2012.""",correct
970,,,“South Africa was the first African country to legalise same-sex marriages back in 2006. It was the fifth country in the world to take this bold step.”,correct
971,,,"“In 1994, 1.2-million families were without homes. In 2013, more than 3.3-million families have free homes.”",incorrect
972,,,"“In 1994, 5.5-million households had access to electricity.""",incorrect
973,,,"""In 2013, more than 11-million households have access to electricity.”",correct
974,,,"“In 1994, only 2.6-million grants were awarded to a select few.""",correct
975,,,"""In 2013, more than 16-million South Africans receive social grants.”",misleading
976,,,“The economy regained the 1-million jobs lost as the results of the 2008 global recession. Employment is now higher than it has ever been.”,misleading
977,,," “Nearly 80,000 land claims, totalling 3.4 million hectares, have been settled. 1.8 million people have benefited.”",mostly-correct
978,,,"“In 1994, 10% of our communities had access to safe water.""",incorrect
979,,,"In 2013, more than 92% of our communities have access to safe water.”",unproven
980,,,"“More than 1,500 healthcare facilities have been built and hundreds more are being revamped.”",unproven
981,,," “In the ANC’s last year in government, not one department received a clean audit. In the DA’s first year, seven departments received clean audits.”",correct
982,,,"“The country’s top three government departments since 2011 have all been in the Western Cape.""",correct
983,,,"""Under the ANC, not one department featured in the top three.”",incorrect
984,,,"“The Western Cape was ranked as the best run province in South Africa in 2013.""",correct
985,,,"""The [Western Cape] was also the only province with no irregular or unauthorised spending.”",unproven
986,,,"“The Western Cape now has the highest access to water, flush toilets and electricity in the country.”",correct
987,,,"“The [Western Cape] also has the highest proportion of households receiving free basic water, free basic electricity and free basic sewerage and sanitation.""",correct
988,,," “In 2009, the ANC left the province with over 6,000 health department vacancies. The vacancy rate for nurses was 34%. By 2013, the DA had brought this down to just 1%.”",unproven
989,,,"“The DA has increased ARV treatment in the Western Cape from 14,000 to 132,000.""",incorrect
990,,,"""[The DA] has brought down the rate of mother to child HIV transmission to just 1.8%, the lowest in the country.”",correct
991,,,"“In its first term in office, the DA built three brand new hospitals in Khayelitsha, Mitchells Plain and George and currently has 75 health care projects valued at R4.5 billion underway.”",exaggerated
992,,,"“While the broad unemployment rate in South Africa is a staggering 34%, the Western Cape has a broad unemployment rate of 22%.”",correct
993,,,"“Since the end of 2012, South Africa’s unemployed population has grown by 121,000. In the Western Cape the unemployed population has shrunk by 48,000.”",correct
994,,,"""Under-performing schools are schools where the matric pass rate is less than 60%. Under the ANC this went from 36 schools in 2006 to 85 in 2009. In just four years the DA brought the number of underperforming schools down to 23.""",mostly-correct
995,,,"""Since 2009 there has been a 25% increase in the number of candidates from poorer schools to pass the National Senior Certificate exams. In Khayelitsha alone, the number of passes has gone up by almost 1,000 since 2009.""",mostly-correct
996,,,"""Under the DA, the matric science pass rate went from 53% to 73%. The maths pass rate went from 65% to 73%.""",correct
997,,,"“In the 2nd half of 2012/13, the WC Provincial Govt. created 60,000 work opportunities via the Expanded Public Works Projects. #DAdelivers”",incorrect
998,,,"“@DA_News municipalities have created 31,000 job opportunities in the past year. #DAdelivers”",unproven
999,,,"“W Cape has best delivery record in SA: 99.1% of households access piped water, 93.4% electricity & 96.9% have toilet facilities. #DAdelivers”",mostly-correct
1000,,,“The City of Cape Town delivers more to poor residents than any other city in the country. #DAdelivers”,unproven
1001,,,“The [South African] gap between the 'haves' & the 'havenots' is smallest in City of Cape Town. It has the highest level of equality in SA. #DAdelivers”,mostly-correct
1002,,,"“Of the R18 billion spent on service delivery in the City of Cape Town, R11billion is spent on the poor communities. #DAdelivers”",unproven
1003,,,“80% of the R2 billion spent by the Western Cape Government on tenders during 2012/2013 was paid to #BEEbusinesses. #DAdelivers”,correct
1004,,,“65% of the Western Cape Govt's senior management are previously disadvantaged South Africans. #DAdelivers”,unproven
1005,,,“76% of the Western Cape Government's budget is redistributed to poor communities. #DAdelivers”,unproven
1006,,,“8 of the top 10 South African municipalities in the Municipal IQ’s Productivity Index are governed by @DA_News. #DAdelivers”,mostly-correct
1007,,,"“In its first four years in government, the DA-governed City of Cape Town tripled the number of houses delivered per year. #DAdelivers”",mostly-correct
1008,,,“The W Cape Govt spends R33.6mil on its Premier’s Advancement of Youth Project & its youth wage subsidy programme every year. #DADelivers”,mostly-correct
1009,,," Zambia has ""the fastest-growing population in the world""",exaggerated
1010,,,“We have created 3.7 million work opportunities over the past five years.”,unproven
1011,,,“The matric pass rate has gone up from around 61 percent in 2009 to 78 percent last year and the bachelor passes improve each year.”,misleading
1012,,,"“The number of children attending Grade R has more than doubled, moving from about 300 thousand to more than 700 thousand between 2003 and 2011.”",correct
1013,,,“Student enrolments at universities increased by 12% while further Education and Training college enrolments have increased by 90%.”,correct
1014,,,"“When 95% of households have access to water, the 5% who still need to be provided for, feel they cannot wait a moment longer. Success is also the breeding ground of rising expectations.”",unproven
1015,,,"“Parliament is finalising amendments to the law to give effect to this very positive development, which will cut to under 300 days, the time it takes to start a mine, from application to final approvals.”",correct
1016,,,"""The tourism industry has grown dramatically. In 1993, South Africa received a mere 3 million foreign visitors. By 2012, the figure had grown to 13 million visitors.""",exaggerated
1017,,,“The overall crime rate has decreased by 21 percent since 2002…”,misleading
1018,,,"""On average, the economy has grown at 3,2 percent a year from 1994 to 2012 despite the global recession which claimed a million jobs.”",mostly-correct
1019,,,"“Jobs are now being created again.There are now 15 million people with jobs in the country, the highest ever in our history, and over 650 thousand jobs were created last year, according to Stats SA.”",misleading
1020,,,"“Mother to child transmission of HIV has declined sharply.""",correct
1021,,,"""[W]e have doubled the number of people who are receiving anti-retroviral treatment, from one million to 2.4 million people in 2013.”",misleading
1022,,,“More than 20 million South Africans have taken the HIV test since the launch of the campaign in 2011 which indicates confidence in the health system.”,mostly-correct
1023,,,"“In housing, about 3 million housing units and more than 855 thousand serviced sites were delivered since 1994.”",mostly-correct
1024,,,“Nearly 500 informal settlements have been replaced with quality housing and basic services over the past five years.”,unproven
1025,,,"“Since 1994, nearly 5,000 farms, comprising 4.2 million hectares, have been transferred to black people, benefiting over 200,000 families.”",mostly-correct
1026,,,"“Nearly 80,000 land claims, totalling 3.4 million hectares, have been settled and 1.8 million people have benefited.”",mostly-correct
1027,,,"“In 1994, over 25% of households with children said they had gone hungry at some point or another. In 2012, the figure had fallen to 6,5% — still unacceptably high, but a vast improvement nonetheless”",understated
1028,,,You don’t need pills to treat depression,misleading
1029,,,Matric pass rate means education is on the right track,misleading
1030,,,IMF meeting a great success,misleading
1031,,,Unemployment in South Africa has increased by 60% in the past 19 years.,incorrect
1032,,,South Africa has one of the highest unemployment rates in the world.,correct
1033,,,South Africa is the rape capital of the world.,unproven
1034,,,South Africa’s education department is ranked 140th out of 144 countries.,incorrect
1035,,,South Africa is the country where the most car hijackings take place.,unproven
1036,,,South Africa is one of the ‘top ten’ countries with the highest murder rates.,mostly-correct
1037,,,South Africa has the most corrupt government in the world.,incorrect
1038,,,South Africa now has ten times more people in squatter camps than in 1994.,incorrect
1039,,,South Africa has 1000% more illegal immigrants than it did in 1994.,unproven
1040,,,South Africa has the largest number of convicted criminals in its parliament.,incorrect
1041,,,25% of South African schoolgirls are HIV positive.,incorrect
1042,,,"South African schoolgirls had 100,000 abortions last year.",incorrect
1043,,,In 19 years the rand has weakened from R3.41 to R10.00 to the dollar.,correct
1044,,,The petrol price went from R1.73 to R12.83 per litre in the past 19 years.,correct
1045,,,Twelve Africans die of hunger every minute,exaggerated
1046,ANC,African National Congress ,36-million South Africans have been given access to sanitation since 1994,exaggerated
1047,,,"30,000 children “trafficked” into the sex trade every year in South Africa; 30,000 children “currently” being prostituted in South Africa.",exaggerated
1048,,,Replacing a “mud school” a week in South Africa’s Eastern Cape province,misleading
1049,,,South Africans really prefer smart clothes to good schools and health,exaggerated
1050,,,Pumpkin and tamarind are “super foods” that will enable diabetics to beat the disease,misleading
1051,,,2.2 million people in Zimbabwe will need food aid in the coming months,exaggerated
